[INFO ] [00:01:31] org.springframework.context.support.ClassPathXmlApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@1fc32e4f: startup date [Mon Mar 02 00:01:31 CST 2026]; root of context hierarchy
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Trading.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: TradingRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: TransferRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: TsgPayOrder.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: TVipGiftRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: User.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserAchievement.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserAnimaTree.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserAttackNsRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserBanRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserBook.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserCapital.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserConfig.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserDailyTask.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserDailyTaskRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserDonateItemRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserDtsAmount.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserDzPeriods.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserDzRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserDzRecordInfo.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserFarmLand.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserGift.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserGiftRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserHandbook.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserIncome.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserIncomeStatement.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserInviteInfo.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserJoy.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserJoyContrib.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserJoyEvent.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserMagicCapital.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserMail.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserNsPrize.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserPet.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserPetRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserPetUser.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserPickGoods.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserPit.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserPower.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserPrizeDraw.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserProcess.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserReceiveInviteRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserRole.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserRoleAd.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserStatistic.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserTimeTask.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserVip.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: UserYyScore.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Version.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: VipReceiveRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: vo
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: WeChatAccessToken.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: WeChatUserInfo.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: WoWanOrder.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: WS.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: WsidBean.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: XianWanOrder.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: ZytRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Listing file:/www/server/jetty-dts3-6003/webapps/ZY-APP-DTS3/WEB-INF/classes/com/zywl/app/base/bean
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Find JAR URL: file:/www/server/jetty-dts3-6003/webapps/ZY-APP-DTS3/WEB-INF/classes/com/zywl/app/base/bean/Achievement.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Not a JAR: file:/www/server/jetty-dts3-6003/webapps/ZY-APP-DTS3/WEB-INF/classes/com/zywl/app/base/bean/Achievement.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: ����4L
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Find JAR URL: file:/www/server/jetty-dts3-6003/webapps/ZY-APP-DTS3/WEB-INF/classes/com/zywl/app/base/bean/ActiveGiftRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Not a JAR: file:/www/server/jetty-dts3-6003/webapps/ZY-APP-DTS3/WEB-INF/classes/com/zywl/app/base/bean/ActiveGiftRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: ����42
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Find JAR URL: file:/www/server/jetty-dts3-6003/webapps/ZY-APP-DTS3/WEB-INF/classes/com/zywl/app/base/bean/Activity.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Not a JAR: file:/www/server/jetty-dts3-6003/webapps/ZY-APP-DTS3/WEB-INF/classes/com/zywl/app/base/bean/Activity.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: ����4f	U	V	W	X	Y	Z	[
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Find JAR URL: file:/www/server/jetty-dts3-6003/webapps/ZY-APP-DTS3/WEB-INF/classes/com/zywl/app/base/bean/Activity2.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Not a JAR: file:/www/server/jetty-dts3-6003/webapps/ZY-APP-DTS3/WEB-INF/classes/com/zywl/app/base/bean/Activity2.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: ����4W	
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Find JAR URL: file:/www/server/jetty-dts3-6003/webapps/ZY-APP-DTS3/WEB-INF/classes/com/zywl/app/base/bean/Admin.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Not a JAR: file:/www/server/jetty-dts3-6003/webapps/ZY-APP-DTS3/WEB-INF/classes/com/zywl/app/base/bean/Admin.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: ����4A		7		8		9		:		;		<		=
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Find JAR URL: file:/www/server/jetty-dts3-6003/webapps/ZY-APP-DTS3/WEB-INF/classes/com/zywl/app/base/bean/AdminLog.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Not a JAR: file:/www/server/jetty-dts3-6003/webapps/ZY-APP-DTS3/WEB-INF/classes/com/zywl/app/base/bean/AdminLog.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: ����4:
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Find JAR URL: file:/www/server/jetty-dts3-6003/webapps/ZY-APP-DTS3/WEB-INF/classes/com/zywl/app/base/bean/AdminMenu.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Not a JAR: file:/www/server/jetty-dts3-6003/webapps/ZY-APP-DTS3/WEB-INF/classes/com/zywl/app/base/bean/AdminMenu.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: ����4>
